context	question	pred_answer	label	pred_verify
 Private bills normally relate to large-scale development projects such as infrastructure projects that require the use of land or property	Public bills normally refer to large-scale what?	development projects	1	1
 Besides, within the city borders, there are also: Pole Mokotowskie (a big park in the northern Mokotów, where was the first horse racetrack and then the airport), Park Ujazdowski (close to the Sejm and John Lennon street), Park of Culture and Rest in Powsin, by the southern city border, Park Skaryszewski by the right Vistula bank, in Praga	Where was the first garden located?	Praga	1	0
 Water on the eastern side flowed toward the Atlantic, while to the west water flowed toward the Pacific across the Amazonas Basin	Water on the eastern side float away from what ocean?	Atlantic	1	0
 Likewise, a protestor who attempts to escape punishment by committing the crime covertly and avoiding attribution, or by denying having committed the crime, or by fleeing the jurisdiction, is generally viewed as not being a civil disobedient	For what reason would someone avoid crimes while protesting?	committing the crime covertly	0	1
 It stands on the Vistula River in east-central Poland, roughly 260 kilometres (160 mi) from the Baltic Sea and 300 kilometres (190 mi) from the Carpathian Mountains	What is Warsaw known as in Carpathian?	Mountains	1	1
 Diatomic oxygen gas constitutes 20	Which gas makes up 20.8% of the Earth's atmosphere?	Diatomic oxygen gas	0	1
 Started by Telecom Australia in the early 1980s, AUSTPAC was Australia's first public packet-switched data network, supporting applications such as on-line betting, financial applications — the Australian Tax Office made use of AUSTPAC — and remote terminal access to academic institutions, who maintained their connections to AUSTPAC up until the mid-late 1990s in some cases	The Australian Tax Office used AUSTPAC to access what remotely?	academic institutions	1	1
 In 1273, the Mongols created the Imperial Library Directorate, a government-sponsored printing office	 When was the Imperial Library Directorate not established?	1273	1	1
 Hobson argued that domestic social reforms could cure the international disease of imperialism by removing its economic foundation	Hobson argued that imperialism was an international what?	disease	0	1
 There is a US$1,000,000 prize for resolving the problem	What is the prize offered for finding a solution to P=NP?	US$1,000,000	0	1
Harvard is a large, highly residential research university	Where can tourists go when they visit Cambridge?	Harvard	1	0
The adaptive immune system evolved in early vertebrates and allows for a stronger immune response as well as immunological memory, where each pathogen is "remembered" by a signature antigen	What immune response is not antigen-specific?	adaptive immune system	1	1
 It was however superseded by the British invention steam turbine where speed was required, for instance in warships, such as the dreadnought battleships, and ocean liners	People of what nationality invented the steam turbine?	British	0	1
 There may be an epidemic that causes widespread panic, or there could be rampant violence in the area that prevents people from going to work for fear of their lives	Why would rampant violence prevent people from going to work?	fear of their lives	0	0
 However, in the early 11th century the dukes began a programme of church reform, encouraging the Cluniac reform of monasteries and patronising intellectual pursuits, especially the proliferation of scriptoria and the reconstitution of a compilation of lost illuminated manuscripts	Who began a program of church reform in the 1100s	the dukes	1	1
 It was the UK's most popular digital TV service until it was overtaken by Freeview in April 2007	what other digital TV service took Sky UK Limited's most popular spot?	Freeview	0	1
A study by the World Institute for Development Economics Research at United Nations University reports that the richest 1% of adults alone owned 40% of global assets in the year 2000	What percent of the global assets in 2000 were owned by just 1% of adults?	40%	0	0
 This was necessary to prevent a "corresponding denial" of Treaty "obligations undertaken unconditionally and irrevocably by member states", that could "imperil the very foundations of the" EU	What has operated among a decreasing plurality of national and globalising legal systems?	obligations	1	1
8 °F) was recorded in Hopetoun on 7 February 2009, during the 2009 southeastern Australia heat wave	When was the heatwave in which Wimmera recorded its highest temperature?	2009	1	1
In 2007, BSkyB and Virgin Media became involved in a dispute over the carriage of Sky channels on cable TV	What year did BSkyB and Virgin Media have a dispute over the carriage of Sky Channels on cable TV?	2007	0	0
 While completing Q (roughly, filling the gaps) with respect to the absolute value yields the field of real numbers, completing with respect to the p-adic norm |−|p yields the field of p-adic numbers	Completing p with respect to what will produce the field of real numbers?	p-adic norm	1	0
Following the Cretaceous–Paleogene extinction event, the extinction of the dinosaurs and the wetter climate may have allowed the tropical rainforest to spread out across the continent	 What may have caused rainforests to grow across South America?	extinction of the dinosaurs and the wetter climate	0	0
 Private education in North America covers the whole gamut of educational activity, ranging from pre-school to tertiary level institutions	What region does use the term 'private schools' to refer to universities?	North America	0	1
The quick and decisive defeat of the Arab troops during the Six-Day War by Israeli troops constituted a pivotal event in the Arab Muslim world	What was the defeat of the Arab troops at the hand of the Israeli troops during the Six-Day War?	quick and decisive	0	0
 Immune systems appear even in the structurally most simple forms of life, with bacteria using a unique defense mechanism, called the restriction modification system to protect themselves from viral pathogens, called bacteriophages	The restriction modification system is used by bacteria for protection from what pathogens?	viral	0	0
Geographical theories such as environmental determinism also suggested that tropical environments created uncivilized people in need of European guidance	Which theory suggested people in the tropics were civilized?	environmental determinism	1	0
 It was an improvement over Savery's steam pump, using a piston as proposed by Papin	Who conceptualized the piston?	Papin	0	1
 Oxfam's claims have however been questioned on the basis of the methodology used: by using net wealth (adding up assets and subtracting debts), the Oxfam report, for instance, finds that there are more poor people in the United States and Western Europe than in China (due to a greater tendency to take on debts)	What has caused Oxfam's findings to be questioned?	the basis of the methodology used	0	1
 As such the European Court of Justice is bound to draw inspiration from the constitutional traditions common to the member states	Where is the European Court of justice likely to get inspiration from?	constitutional traditions common to the member states	0	0
 Through gentrification of older neighbourhoods, for example, in East New York, rental prices increased rapidly as landlords found new residents willing to pay higher market rate for housing and left lower income families without rental units	What drove decreased rental prices in East New York?	gentrification of older neighbourhoods	1	0
 Stratigraphers also analyze data from geophysical surveys that show the locations of stratigraphic units in the subsurface	What type of surveys show the location of stratigraphic units in the subsurface?	geophysical surveys	0	1
 According to the cellular theory of immunity, represented in particular by Elie Metchnikoff, it was cells – more precisely, phagocytes – that were responsible for immune responses	Who was the main detractor of the cellular theory of immunity?	Elie Metchnikoff	1	1
Gasquet (1908) claimed that the Latin name atra mors (Black Death) for the 14th-century epidemic first appeared in modern times in 1631 in a book on Danish history by J	What's the Latin name for Germany?	atra mors	1	0
 The color was unofficially adopted (in preference to magenta) by an 1875 vote of the student body, although the association with some form of red can be traced back to 1858, when Charles William Eliot, a young graduate student who would later become Harvard's 21st and longest-serving president (1869–1909), bought red bandanas for his crew so they could more easily be distinguished by spectators at a regatta	When did The Harvard Crimson publish its first issue?	1875	1	1
 The party with the highest quotient is awarded the seat, which is then added to its constituency seats in allocating the second seat	The party with the lowest quotient is awarded what?	the seat	1	0
 Free oxygen first appeared in significant quantities during the Paleoproterozoic eon (between 3	During which eon did free oxygen begin appearing in quantity?	Paleoproterozoic eon	0	1
Trotsky, and others, believed that the revolution could only succeed in Russia as part of a world revolution	Trotsky thought what was needed for a true Russian revolution.	world revolution	0	0
 An example would be WBAI's broadcasting the track "Filthy Words" from a George Carlin comedy album, which eventually led to the 1978 Supreme Court case of FCC v	What court case was eventually the result of Joseph Haas sending and e-mail to the New Hampshire city council?	FCC v. Pacifica Foundation	1	0
 One result of this was a campaign of attacks on government officials and tourists in Egypt, a bloody civil war in Algeria and Osama bin Laden's terror attacks climaxing in the 9/11 attack	 Where did a not-bloody civil war break out?	Algeria	1	0
In 1529, Warsaw for the first time became the seat of the General Sejm, permanent from 1569	Who did Warsaw serve as the seat for in 1529?	General Sejm	0	0
 This takes two forms, orientalism and tropicality	What were the two forms of environmental determinism?	orientalism and tropicality	0	1
 The graph isomorphism problem, the discrete logarithm problem and the integer factorization problem are examples of problems believed to be NP-intermediate	What are four examples of problems believed to be NP=intermediate?	The graph isomorphism problem, the discrete logarithm problem and the integer factorization problem	1	0
 This trend is not necessarily due to the fact that more affluent roles are available, however, as architects with 14 or more years experience working in the Middle East earn on average £43,389 per annum, compared to £40,000 in the UK	What is not due to the average earning for a professional?	more affluent roles are available	1	1
In Ireland, private schools (Irish: scoil phríobháideach) are unusual because a certain number of teacher's salaries are paid by the State	What is the Irish term for private schools?	scoil phríobháideach	0	1
Warsaw was occupied by Germany from 4 August 1915 until November 1918	How long was Germany occupied by Poland?	4 August 1915 until November 1918	1	1
 Upon the extinction of the local ducal line, the duchy was reincorporated into the Polish Crown in 1526	When was the Bolelsaw Duchy reincorporated into the Polish Crown?	1526	1	0
 diverges (i	What property of the harmonic series 1 + 1/2 + 1/3 + 1/4 + ... shows that there is an infinite number of primes?	diverges	0	1
In the meantime, on August 1, 1774, an experiment conducted by the British clergyman Joseph Priestley focused sunlight on mercuric oxide (HgO) inside a glass tube, which liberated a gas he named "dephlogisticated air"	What did Joseph Priestley's August 4, 1774 experiment focus on?	mercuric oxide	1	1
 Holden's announcement occurred in May 2013, followed by Ford's decision in December of the same year (Ford's Victorian plants—in Broadmeadows and Geelong—will close in October 2016)	When did Holden announce that it will close its Victoria plant?	May 2013	0	0
 The law requires that the GP practice be located in a designated rural area and that there is also a specified, minimum distance (currently 1	What is the minimum distance between a patient's home and the nearest pharmacy that allows a physician to give out medication?	1.6 kilometres	0	0
 And still other civil disobedients, being anarchists, don't believe in the legitimacy of any government, and therefore see no need to accept punishment for a violation of criminal law that does not infringe the rights of others	Why does government exist according to anarchists?	don't believe in the legitimacy of any government	1	1
 Sub-Saharan Africa has also featured dozens of empires that predate the European colonial era, for example the Ethiopian Empire, Oyo Empire, Asante Union, Luba Empire, Lunda Empire, and Mutapa Empire	Which is older the British Empire or the Ethiopian Empire?	European colonial era	0	1
Of course, some complexity classes have complicated definitions that do not fit into this framework	What fits the framework of complexity classes?	complicated definitions	1	0
 Statements from the Presiding Officer and the member in charge of the bill are also lodged indicating whether the bill is within the legislative competence of the Parliament	What do statements from the PO and member in charge of the bill also indicate?	whether the bill is within the legislative competence of the Parliament	0	1
Its counties of Los Angeles, Orange, San Diego, San Bernardino, and Riverside are the five most populous in the state and all are in the top 15 most populous counties in the United States	Orange, San Diego, Riverside and San Bernardino make up four of the five counties. What is the name of the last county?	Los Angeles	0	0
Its counties of Los Angeles, Orange, San Diego, San Bernardino, and Riverside are the five most populous in the state and all are in the top 15 most populous counties in the United States	What is the lowest ranking one of the counties could have in terms of most populous counties in the United States?	top 15	0	0
[h] Passengers traveling in (pressurized) commercial airplanes have an emergency supply of O
2 automatically supplied to them in case of cabin depressurization	Who has an emergency supply of O?	Passengers traveling in (pressurized) commercial airplanes	1	1
 There is no known case of any U	What is one country that can't be suggested for importation of medicines?	U.S.	1	1
 While nearly three-quarters eventually were killed  or submitted, roughly 500,000 Huguenots had fled France by the early 18th century[citation needed]	How many Huguenots were there in France in 1685?	500,000	1	1
 It is responsible for managing areas of government that are not exclusively the Commonwealth's, by the Australian Constitution, such as education, health and law enforcement	How are Victorian education members chosen?	by the Australian Constitution	1	1
When Sky Digital was launched in 1998 the new service used the Astra 2A satellite which was located at the 28	When was the only satellite launched?	1998	1	0
 This is called antigenic variation	What is the process by which the adaptive immune system is evaded by the chainging of non-essential epitopes called?	antigenic variation	0	0
Fundamental rights, as in human rights, were first recognised by the European Court of Justice in the late 60s and fundamental rights are now regarded as integral part of the general principles of European Union law	When were fundamental rights not recognized by the European Court of Justice?	European Court of Justice	1	1
 In the region of the Xingu tribe, remains of some of these large settlements in the middle of the Amazon forest were found in 2003 by Michael Heckenberger and colleagues of the University of Florida	In 2000 who found evidence of a large settlement in the Amazon rain forest?	Michael Heckenberger and colleagues of the University of Florida	1	1
 However, a distinct lymphocyte-derived molecule has been discovered in primitive jawless vertebrates, such as the lamprey and hagfish	What are two examples of primitive jawless vertebrates?	lamprey and hagfish	0	1
Professional sports teams in Southern California include teams from the NFL (Los Angeles Rams, San Diego Chargers); NBA (Los Angeles Lakers, Los Angeles Clippers); MLB (Los Angeles Dodgers, Los Angeles Angels of Anaheim, San Diego Padres); NHL (Los Angeles Kings, Anaheim Ducks); and MLS (LA Galaxy)	What is the other NHL team aside from the Anaheim Ducks to reside in Southern California?	Los Angeles Kings	0	0
 Phagocytosis evolved as a means of acquiring nutrients, but this role was extended in phagocytes to include engulfment of pathogens as a defense mechanism	What was the role of phagocytosis before it was used to acquire nutrients?	engulfment of pathogens as a defense mechanism	1	1
The first historical reference to Warsaw dates back to the year 1313, at a time when Kraków served as the Polish capital city	When was the first reference in history to Prussia?	1313	1	1
 While the market will bid up compensation for rare and desired skills to reward wealth creation, greater productivity, etc	What type of skills does the market bid up compensation for?	rare and desired skills	0	1
Research by Harvard economist Robert Barro, found that there is "little overall relation between income inequality and rates of growth and investment"	Barro found there is much relation between income inequality and rates of what?	growth and investment	1	0
 American economist, social theorist, political philosopher, and author Thomas Sowell is also an alumnus	What Nobel Memorial Prize in Economic Sciences winner is also a university alumni member?	Thomas Sowell	0	1
Thanks to numerous musical venues, including the Teatr Wielki, the Polish National Opera, the Chamber Opera, the National Philharmonic Hall and the National Theatre, as well as the Roma and Buffo music theatres and the Congress Hall in the Palace of Culture and Science, Warsaw hosts many events and festivals	Where is the Congress Hall located?	Palace of Culture and Science	0	0
 Oxygen is the oxidant, not the fuel, but nevertheless the source of most of the chemical energy released in combustion	Combustion is caused by an oxidant and a fuel. What role does oxygen play in combustion?	the source of most of the chemical energy	0	0
 In nature, singlet oxygen is commonly formed from water during photosynthesis, using the energy of sunlight	In what process is singlet oxygen usually formed?	photosynthesis	0	1
 In the early 18th century, a regional group known as the Camisards who were Huguenots rioted against the Catholic Church in the region, burning churches and killing clergy	Against whom did the Camisards rise up to fight?	the Catholic Church	0	0
Parliament typically sits Tuesdays, Wednesdays and Thursdays from early January to late June and from early September to mid December, with two-week recesses in April and October	Parliament typically sits from February to late what?	June	1	1
 A chapter typically has two "coordinating lead authors", ten to fifteen "lead authors", and a somewhat larger number of "contributing authors"	Who assembles the authors' contributions?	coordinating lead authors	0	1
 He was the first Yuan emperor to actively support and adopt mainstream Chinese culture after the reign of Kublai, to the discontent of some Mongol elite	 Who refused Buyantu?	Mongol elite	1	1
 Moreover, Warsaw was ranked as the 7th greatest emerging market	What was Srodmiescie ranked the 7th greatest of?	emerging market	1	0
 Throughout the lifetime of an animal, these memory cells remember each specific pathogen encountered and can mount a strong response if the pathogen is detected again	Long-lived memory cells can remember previous encounters with what?	pathogen	0	1
 The effect of economic growth on poverty reduction – the growth elasticity of poverty – can depend on the existing level of inequality	What can the growth elasticity of poverty depend on?	the existing level of inequality	0	1
 Although by 1000 CE, the Germanic conquest of central, western, and southern Europe (west of and including Italy) was complete, excluding only Muslim Iberia	By when did the Germanic tribes conquer the Celtic peoples?	1000 CE	0	1
As of the 2010 United States Census, southern California has a population of 22,680,010	What census showed southern California as having a population of 26,860, 010?	2010 United States Census	1	0
" Employers who offer a below market wage will find that their business is chronically understaffed	What happens when business overpays their workers?	Employers who offer a below market wage will find that their business is chronically understaffed	1	1
One theory is that, while disobedience may be helpful, any great amount of it would undermine the law by encouraging general disobedience which is neither conscientious nor of social benefit	Why should disobedience by the general public be avoided?	neither conscientious nor of social benefit	0	1
 In contrast, an increase in the income share of the bottom 20 percent (the poor) is associated with higher GDP growth	What does an increase in the income share of the bottom 20 percent of people of a society result in?	higher GDP growth	0	0
The war was fought primarily along the frontiers between New France and the British colonies, from Virginia in the South to Nova Scotia in the North	Where wasn't war fought?	Nova Scotia in the North. It began with a dispute over control of the confluence of the Allegheny and Mononga	1	1
 Although time and space are the most well-known complexity resources, any complexity measure can be viewed as a computational resource	A complexity resource can also be described as what other type of resource?	computational	0	0
 Fertilization is generally external, although platyctenids' eggs are fertilized inside their parents' bodies and kept there until they hatch	Which group keep the eggs are fertilized and kept inside the parent's body until they hatch?	platyctenids	0	0
 In addition to these effects, the milieu of hormones produced at this time (leptin, pituitary growth hormone, and prolactin) support the interactions between APCs and T-cells, a shift of the Th1/Th2 cytokine balance towards one that supports Th1, an increase in overall Th cell proliferation, and naïve T cell migration to lymph nodes	Sleep hormones shift the cytokine balance to which cytokine?	Th1/Th2	0	1
 Building construction is usually further divided into residential and non-residential (commercial/institutional)	What type of constuction is eivided into private and public buildings?	commercial/institutional	1	0
 These methods can also be used to determine ages of pluton emplacement	What does pluton emplacement give after a stratigraphic sequence is measured in minerals?	ages	1	1
The history of the steam engine stretches back as far as the first century AD; the first recorded rudimentary steam engine being the aeolipile described by Greek mathematician Hero of Alexandria	In what century did the history of the steam engine begin?	AD	0	0
 22,000–14,000 yr BP, when ice-sheets covered Scandinavia, the Baltics, Scotland and the Alps, but left the space between as open tundra	What covered Scandinavia, the Baltics, Scotland, and the Alps in the last Ice Age?	ice-sheets	0	0
 All three types of rocks may be re-melted; when this happens, a new magma is formed, from which an igneous rock may once again crystallize	What kind of mineral crystallizes from erosion?	magma is formed, from which an igneous	1	1
 However, the university chose to withdraw from the conference in 1946 after University President Robert Maynard Hutchins de-emphasized varsity athletics in 1939 and dropped football	In what did the President re-emphasize athletics at the university?	1939	1	0
 The FIS won sweeping victories in local elections and it was going to win national elections in 1991 when voting was canceled by a military coup d'état	What were the national elections in 1994 canceled by?	military coup d'état	1	0
Professional sports teams in Southern California include teams from the NFL (Los Angeles Rams, San Diego Chargers); NBA (Los Angeles Lakers, Los Angeles Clippers); MLB (Los Angeles Dodgers, Los Angeles Angels of Anaheim, San Diego Padres); NHL (Los Angeles Kings, Anaheim Ducks); and MLS (LA Galaxy)	What NLH teams are from Southern California?	Los Angeles Rams, San Diego Chargers	1	1
Barred by the government from settling in New France, Huguenots led by Jessé de Forest, sailed to North America in 1624 and settled instead in the Dutch colony of New Netherland (later incorporated into New York and New Jersey); as well as Great Britain's colonies, including Nova Scotia	In what year did the Boschwick neighborhood officially change its name to Bushwick?	1624	1	1
 The SNP took a further eight seats from the Liberal Democrats and one seat from the Conservatives	The SNP gave eight seats to the Liberal who?	Democrats	1	1
 From 1991 until 2000, the stock exchange was, ironically, located in the building previously used as the headquarters of the Polish United Workers' Party (PZPR)	Whose former headquarters was the WSE located in until 2000?	Polish United Workers' Party	0	0
The Rhine emerges from Lake Constance, flows generally westward, as the Hochrhein, passes the Rhine Falls, and is joined by its major tributary, the river Aare	What is the major tributary for the Rhine? 	the river Aare	0	0
 In southern California there are also twelve cities with more than 200,000 residents and 34 cities over 100,000 in population	There are 34 cities in southern California that have a population exceeding what number?	100,000	0	0
Southern California, often abbreviated SoCal, is a geographic and cultural region that generally comprises California's southernmost 10 counties	Despite being traditionall described as "eight counties", how many counties does this region actually have?	10	0	0
 In southern Italy, the Normans incorporated elements of Islamic, Lombard, and Byzantine building techniques into their own, initiating a unique style known as Norman-Arab architecture within the Kingdom of Sicily	What place had the Norman Arab architectural style?	Sicily	0	1
 Elections for the Victorian Parliament are now fixed and occur in November every four years	How often are elections held by upper house members?	November every four years	1	0
 A dry type cooling tower is similar to an automobile radiator and is used in locations where water is costly	In what sort of places are dry cooling towers used?	locations where water is costly	0	1
 Other early benefactors included businessmen Charles L	What is the name of the donor who helped establish the Hutchinson Commons?	Charles L. Hutchinson	0	1
 Hence ctenophores and cnidarians have traditionally been labelled diploblastic, along with sponges	What are more complex animals labeled when they have a jelly-like layer?	diploblastic	1	1
Steven Barkan writes that if defendants plead not guilty, "they must decide whether their primary goal will be to win an acquittal and avoid imprisonment or a fine, or to use the proceedings as a forum to inform the jury and the public of the political circumstances surrounding the case and their reasons for breaking the law via civil disobedience	What is the main goal of trying to get jury nullification during trial?	to win an acquittal	1	0
 To function properly, an immune system must detect a wide variety of agents, known as pathogens, from viruses to parasitic worms, and distinguish them from the organism's own healthy tissue	What is the immune system unable to distinguish from healthy tissue?	pathogens	1	1
An important decision for civil disobedients is whether or not to plead guilty	What group needs to decide if they should make a creative plea or not?	civil disobedients	1	1
 The last Prime Minister of the (East) German Democratic Republic, Lothar de Maizière, is also a descendant of a Huguenot family, as is the German Federal Minister of the Interior, Thomas de Maizière	Who was the final Prime Minister of East Germany?	Lothar de Maizière	0	1
 The undergraduate college became coeducational after its 1977 merger with Radcliffe College	When did the undergraduate program become coeducational?	1977	0	1
The University of Chicago Library system encompasses six libraries that contain a total of 9	Which University ranks having the 9th most number of volumes in the US?	University of Chicago	1	0
 In October 2015, Credit Suisse published a study which shows global inequality continues to increase, and that half of the world's wealth is now in the hands of those in the top percentile, whose assets each exceed $759,900	In order to be considered in the top percentile, a person would need to amass how much money each year?	$759,900	0	0
In cases where the criminalized behavior is pure speech, civil disobedience can consist simply of engaging in the forbidden speech	What is one criminal behavior that is hard to stop by authorities?	pure speech	0	0
 For instance, the biggest school chain, Kunskapsskolan (“The Knowledge School”), offers 30 schools and a web-based environment, has 700 employees and teaches nearly 10,000 pupils	About many students attend Kunskapsskolan schools?	nearly 10,000	0	1
 Prime numbers give rise to various generalizations in other mathematical domains, mainly algebra, such as prime elements and prime ideals	What is the name of one algebraic generalization Goldbach's conjecture has inspired?	prime ideals	1	0
The biodiversity of plant species is the highest on Earth with one 2001 study finding a quarter square kilometer (62 acres) of Ecuadorian rainforest supports more than 1,100 tree species	What rain forced supports more than 11,003 species	1,100	1	1
 Therefore, most Ersatzschulen have very low tuition fees and/or offer scholarships, compared to most other Western European countries	How does the level of tuition in German private schools compare to private schools in other Western European countries?	low tuition fees	0	0
 Baghdad has suffered severely from visitations of the plague, and sometimes two-thirds of its population has been wiped out	How many people, at most, have died of plague in Baghdad? 	two-thirds	0	0
 John Houghton, who was a co-chair of TAR WGI, has responded to Lindzen's criticisms of the SPM	What was Houghton's role?	co-chair of TAR WGI	0	0
The party, or parties, that hold the majority of seats in the Parliament forms the Scottish Government	What party forms the Scottish Parliament?	The party	0	0
 It is here that the Rhine encounters some more of its main tributaries, such as the Neckar, the Main and, later, the Moselle, which contributes an average discharge of more than 300 m3/s (11,000 cu ft/s)	How wide is the Moselle?	300 m3/s	1	1
 In reviewing the voluminous literature on the subject, the student of civil disobedience rapidly finds himself surrounded by a maze of semantical problems and grammatical niceties	Le grand states that students studying civil disobedience will often run into grammatical niceties and what other problem? 	semantical	0	0
Courts have distinguished between two types of civil disobedience: "Indirect civil disobedience involves violating a law which is not, itself, the object of protest, whereas direct civil disobedience involves protesting the existence of a particular law by breaking that law	When the law is a direct target of the protest, what is this called?	direct civil disobedience	0	0
Politically, the system of government created by Kublai Khan was the product of a compromise between Mongolian patrimonial feudalism and the traditional Chinese autocratic-bureaucratic system	What Mongolian system did Kublai's government compromise with?	patrimonial feudalism	0	1
Southern California consists of one of the more varied collections of geologic, topographic, and natural ecosystem landscapes in a diversity outnumbering other major regions in the state and country	What type of landscapes other than geologic and natural ecosystem landscapes can be found in southern California?	topographic	0	0
[citation needed] In 1705, Amsterdam and the area of West Frisia were the first areas to provide full citizens rights to Huguenot immigrants, followed by the Dutch Republic in 1715	In what year was the Edict of Nantes revoked?	1705	1	1
 This pattern of higher incomes-longer lives still holds among poorer countries, where life expectancy increases rapidly as per capita income increases, but in recent decades it has slowed down among middle income countries and plateaued among the richest thirty or so countries in the world	Where does the pattern of lower income-longer lives still hold true?	middle income countries	1	0
European Union law is applied by the courts of member states and the Court of Justice of the European Union	Who can enforce European Union law?	courts of member states	0	1
Even though some proofs of complexity-theoretic theorems regularly assume some concrete choice of input encoding, one tries to keep the discussion abstract enough to be independent of the choice of encoding	In the effort of maintaining a level of abstraction, what choice is typically left independent?	encoding	0	0
 Some non-condensing direct-drive locomotives did meet with some success for long haul freight operations in Sweden and for express passenger work in Britain, but were not repeated	Where were non-condensing direct-drive locomotives notably used for fast passenger trains?	Sweden	0	0
 The BBC's Unnatural Histories presents evidence that Orellana, rather than exaggerating his claims as previously thought, was correct in his observations that a complex civilization was flourishing along the Amazon in the 1540s	During what time did civilization in the Amazon was flourishing when Orellana made his observations?	1540s	0	0
 The European Court of Justice also found that "international treaties for the protection of human rights on which the member states have collaborated or of which they are signatories, can supply guidelines which should be followed within the framework of Community law	What did the European Court of Justice not find about supply guidelines?	should be followed within the framework of Community law	1	0
 The theater was built in 1939 and is at Olive and Wishon Avenues in the heart of the Tower District	When was the Tower Theatre built?	1939	0	1
 The GPhC is the governing body for pharmacy health care professionals and this is who regulates the practice of pharmacists and pharmacy technicians	What is a main duty of the GPhC?	regulates the practice of pharmacists and pharmacy technicians	0	1
Structural geologists use microscopic analysis of oriented thin sections of geologic samples to observe the fabric within the rocks which gives information about strain within the crystalline structure of the rocks	What type of geologists give information about strain within the crystalline structure of the rocks?	Structural	0	1
In 1967, Manuel Blum developed an axiomatic complexity theory based on his axioms and proved an important result, the so-called, speed-up theorem	What theorem was implicated by Manuel Blum's axioms?	speed-up theorem	0	1
The principles of imperialism are often generalizable to the policies and practices of the British Empire "during the last generation, and proceeds rather by diagnosis than by historical description"	 Imperialism is less often associated with which sovereignty?	British Empire	1	0
 Some authors combined ctenophores and cnidarians in one phylum, Coelenterata, as both groups rely on water flow through the body cavity for both digestion and respiration	What does ctenophora rely on for digestion and respiration?	water flow	0	1
 Out of these, three are heavy populated areas: the Los Angeles area with over 12 million inhabitants, the Riverside-San Bernardino area with over four million inhabitants, and the San Diego area with over 3 million inhabitants	How many inhabitants does the Los Angeles area contain?	over 12 million	0	1
 Other complexity measures are also used, such as the amount of communication (used in communication complexity), the number of gates in a circuit (used in circuit complexity) and the number of processors (used in parallel computing)	What number is used in perpendicular computing?	processors	1	0
 This gives members an opportunity to question the First Minister directly on issues under their jurisdiction	What may members question the First Minister about directly during First Minister's Question Time?	issues under their jurisdiction	0	0
 Tropicality can be paralleled with Edward Said’s Orientalism as the west’s construction of the east as the “other”	Which book by Edward Said portrayed the west as being the "others?"	Tropicality	1	0
When rock units are placed under horizontal compression, they shorten and become thicker	What happens when syncline is horizontally compressed?	shorten and become thicker	1	1
Despite periodic repression, the Brotherhood has become one of the most influential movements in the Islamic world, particularly in the Arab world	 What status has the Brotherhood obtained in the non-Islamic world?	one of the most influential movements	1	0
The Education Service Contracting scheme of the government provides financial assistance for tuition and other school fees of students turned away from public high schools because of enrollment overflows	Why would students be turned away from non-degree programmes?	enrollment overflows	1	1
 In the course of the Polish-Bolshevik War of 1920, the huge Battle of Warsaw was fought on the eastern outskirts of the city in which the capital was successfully defended and the Red Army defeated	What army did Warsaw successfully defend itself against?	Red Army	0	1
Socialists attribute the vast disparities in wealth to the private ownership of the means of production by a class of owners, creating a situation where a small portion of the population lives off unearned property income by virtue of ownership titles in capital equipment, financial assets and corporate stock	What type of income is the vast majority of the population not dependent on?	unearned property	1	1
 Ten of these 14 reconstructions covered 1,000 years or longer	How many reconstructions covered more than 10,000 years?	Ten of these 14	1	0
 During the Oligocene, for example, the rainforest spanned a relatively narrow band	During what time did the rainforest spanned a narrow band? 	Oligocene	0	0
 Ultimately the campaign to overthrow the government was unsuccessful, and the major jihadi group, Jamaa Islamiya (or al-Gama'a al-Islamiyya), renounced violence in 2003	How did the Islamic Group's campaign to support the government turn out?	the campaign to overthrow the government was unsuccessful	1	0
Past faculty have also included Egyptologist James Henry Breasted, mathematician Alberto Calderón, Nobel prize winning economist and classical liberalism defender Friedrich Hayek, meteorologist Ted Fujita, chemists Glenn T	Who developed the actinide concept?	Glenn T. Seaborg	0	1
 This is not a problem except for patients on mechanical ventilators, since gas supplied through oxygen masks in medical applications is typically composed of only 30%–50% O
2 by volume (about 30 kPa at standard pressure)	What is composed of 21%-50% O2 by volume?	gas supplied through oxygen masks	1	0
 Buddhism is the state's largest non-Christian religion, with 168,637 members as of the most recent census	How many Victorians have a Buddha statue?	168,637	1	0
 State Route 168, the Sierra Freeway, heads east to the city of Clovis and Huntington Lake	State Route 168 head west of what?	the city of Clovis and Huntington Lake	1	1
 Will Wilkinson of the libertarian Cato Institute states that "the weight of the evidence shows that the run-up in consumption inequality has been considerably less dramatic than the rise in income inequality," and consumption is more important than income	What political leaning does the Cato Institute have?	libertarian	0	1
 Glucocorticoids are the most powerful of these drugs; however, these drugs can have many undesirable side effects, such as central obesity, hyperglycemia, osteoporosis, and their use must be tightly controlled	What is not a side effect of glucocorticoids?	osteoporosis	1	1
 A vote clerk sits in front of the Presiding Officer and operates the electronic voting equipment and chamber clocks	What type of clerk sits behind the Presiding Officer?	vote clerk	1	0
Virgin Media (re-branded in 2007 from NTL:Telewest) started to offer a high-definition television (HDTV) capable set top box, although from 30 November 2006 until 30 July 2009 it only carried one linear HD channel, BBC HD, after the conclusion of the ITV HD trial	what was NTL Telewest re-branded to in 2007?	Virgin Media	0	1
